# snapnum         a           z
      000     0.051120     18.562 
      001     0.055611     16.982 
      002     0.060129     15.631 
      003     0.064641     14.470 
      004     0.069118     13.468 
      005     0.073621     12.583 
      006     0.078119     11.801 
      007     0.082617     11.104 
      008     0.089373     10.189 
      009     0.096749     09.336 
      010     0.104004     08.615 
      011     0.109004     08.174 
      012     0.112994     07.850 
      013     0.117994     07.475 
      014     0.123001     07.130 
      015     0.128008     06.812 
      016     0.132996     06.519 
      017     0.139005     06.194 
      018     0.144991     05.897 
      019     0.150989     05.623 
      020     0.157011     05.369 
      021     0.163988     05.098 
      022     0.170999     04.848 
      023     0.177999     04.618 
      024     0.186012     04.376 
      025     0.193986     04.155 
      026     0.202020     03.950 
      027     0.209996     03.762 
      028     0.219010     03.566 
      029     0.227998     03.386 
      030     0.237982     03.202 
      031     0.248016     03.032 
      032     0.257998     02.876 
      033     0.269034     02.717 
      034     0.280978     02.559 
      035     0.291971     02.425 
      036     0.304971     02.279 
      037     0.317965     02.145 
      038     0.331016     02.021 
      039     0.344947     01.899 
      040     0.358938     01.786 
      041     0.374953     01.667 
      042     0.390016     01.564 
      043     0.407000     01.457 
      044     0.424088     01.358 
      045     0.442087     01.262 
      046     0.459982     01.174 
      047     0.480077     01.083 
      048     0.500000     01.000 
      049     0.529942     00.887 
      050     0.544366     00.837 
      051     0.550358     00.817 
      052     0.556174     00.798 
      053     0.562430     00.778 
      054     0.568505     00.759 
      055     0.574383     00.741 
      056     0.580383     00.723 
      057     0.586510     00.705 
      058     0.592417     00.688 
      059     0.598444     00.671 
      060     0.604230     00.655 
      061     0.610501     00.638 
      062     0.616143     00.623 
      063     0.622278     00.607 
      064     0.628536     00.591 
      065     0.634518     00.576 
      066     0.640205     00.562 
      067     0.646412     00.547 
      068     0.652316     00.533 
      069     0.658328     00.519 
      070     0.664452     00.505 
      071     0.670241     00.492 
      072     0.676133     00.479 
      073     0.682128     00.466 
      074     0.688231     00.453 
      075     0.694444     00.440 
      076     0.700280     00.428 
      077     0.706215     00.416 
      078     0.712251     00.404 
      079     0.718391     00.392 
      080     0.724113     00.381 
      081     0.736377     00.358 
      082     0.742390     00.347 
      083     0.754148     00.326 
      084     0.760456     00.315 
      085     0.772201     00.295 
      086     0.778210     00.285 
      087     0.787402     00.270 
      088     0.790514     00.265 
      089     0.802568     00.246 
      090     0.808407     00.237 
      091     0.814332     00.228 
      092     0.816993     00.224 
      093     0.823723     00.214 
      094     0.826446     00.210 
      095     0.832639     00.201 
      096     0.835422     00.197 
      097     0.841751     00.188 
      098     0.844595     00.184 
      099     0.850340     00.176 
      100     0.853242     00.172 
      101     0.859107     00.164 
      102     0.862069     00.160 
      103     0.868056     00.152 
      104     0.871080     00.148 
      105     0.877193     00.140 
      106     0.880282     00.136 
      107     0.886525     00.128 
      108     0.889680     00.124 
      109     0.895255     00.117 
      110     0.898473     00.113 
      111     0.904159     00.106 
      112     0.907441     00.102 
      113     0.925069     00.081 
      114     0.956023     00.046 
      115     0.970874     00.030 
      116     1.000000     00.000 
